seed,Reward,Value Error
0,46.35,0.0
1,45.75,0.0
2,45.25,0.0
3,43.825,0.0
4,44.6,0.0
5,47.375,0.0
6,46.075,0.0
7,45.05,0.0
8,44.95,0.0
9,44.825,0.0
