Training Step,Steps,Reward
0,33.78109715506588,289.9535601896328
50000,221.77567275289684,72.2841184796332
100000,90.30628161982976,65.41240547963598
150000,170.50469964197467,85.15782846203594
200000,213.5764535242591,97.36803012164715
250000,144.99790998493737,84.34758436604825
300000,239.97196820670536,103.03308571367272
350000,236.82921531137157,90.72207616395488
400000,270.61829229562437,118.86936331021974
450000,247.99203999322236,113.74583828006598
500000,232.7702850988502,99.2925989105117
550000,195.83570129064825,87.00496307489459
600000,177.40425981356816,86.02240540301345
650000,230.05752568651175,112.04950521169347
700000,176.13160306997722,77.64353135913004
750000,180.08166230907577,91.87880906744721
800000,176.8431533874015,73.57902760480086
850000,240.20591770395666,47.87783844068375
900000,168.60958424715957,90.38780918876142
950000,169.80108774681042,78.58756081937983
1000000,171.22208268795237,67.83302289612148
