Training Step,Steps,Reward
0,8.9,0.08
50000,23.714999999999996,0.225
100000,28.203333333333333,0.38666666666666666
150000,39.416666666666664,0.5933333333333333
200000,39.61000000000001,0.7200000000000001
250000,41.14000000000001,0.69
300000,41.14666666666667,0.69
350000,43.169999999999995,0.6533333333333333
400000,42.01,0.6633333333333332
450000,42.04666666666667,0.6433333333333334
500000,41.29666666666667,0.6233333333333333
550000,43.133333333333326,0.65
600000,42.74666666666667,0.6366666666666666
650000,42.21,0.6900000000000001
700000,41.43666666666667,0.6033333333333334
750000,42.339999999999996,0.6633333333333333
800000,42.78333333333333,0.6466666666666666
850000,42.63999999999999,0.7399999999999999
900000,40.68333333333333,0.7266666666666666
950000,41.336666666666666,0.7333333333333334
1000000,42.34,0.6933333333333334
