seed,Reward,Value Error
0,-1.0,77679.72706587834
1,-1.0,76173.4242021695
2,-1.0,105447.8882005711
3,-1.0,81219.6203899377
4,-1.0,50027.47865066726
5,-1.0,80114.13099022655
6,-1.0,50065.94386422458
7,-1.0,211185.79437439964
8,-1.0,58598.52056135422
9,-1.0,64459.28066253043
