seed,Reward,Value Error
0,325.9,160.1766027946316
1,318.3,155.5287072825944
2,319.2,153.19202764358488
3,325.175,163.13119188720594
4,318.725,155.64208903947983
5,318.2,165.08957355318415
6,321.1,169.27375638459344
7,321.125,162.57150149846856
8,322.45,157.31267729506945
9,310.075,154.22276144138596
