seed,Reward,Value Error
0,-25000.0,81193.8590444588
1,-25000.0,57998.63400006159
2,-25000.0,69300.493790012
3,-25000.0,75726.20333050094
4,-25000.0,88981.32326011104
5,-25000.0,83791.68721213828
6,-25000.0,188051.41905830093
7,-25000.0,62318.79786941202
8,-25000.0,47255.5857331663
9,-25000.0,55357.02421291458
