Training Step,Steps,Reward
0,200.0,-200.0
50000,200.0,-200.0
100000,196.625,-196.625
150000,159.595,-159.595
200000,146.83999999999997,-146.83999999999997
250000,126.05499999999999,-126.05499999999999
300000,121.87,-121.87
350000,120.495,-120.495
400000,107.165,-107.165
450000,114.81000000000002,-114.81000000000002
500000,115.98999999999998,-115.98999999999998
550000,107.01500000000001,-107.01500000000001
600000,109.71,-109.71
650000,121.975,-121.975
700000,114.125,-114.125
750000,117.39500000000001,-117.39500000000001
800000,112.91000000000001,-112.91000000000001
850000,117.24000000000001,-117.24000000000001
900000,124.43999999999998,-124.43999999999998
950000,117.58500000000001,-117.58500000000001
1000000,121.42,-121.42
