seed,Reward,Value Error
0,325.025,162.56365753800657
1,312.95,157.42640386971266
2,326.875,160.7451597694073
3,323.3,158.67774367025322
4,309.925,165.4062095534711
5,322.0,156.08867524132046
6,323.9,169.51642343416688
7,324.95,162.35794730719735
8,325.425,159.09576780089043
9,313.8,162.886956157797
