seed,Reward,Value Error
0,322.675,156.4361596862771
1,311.4,163.88607729096694
2,311.575,157.8243264644785
3,311.025,162.16537089337726
4,321.125,160.23536101074464
5,323.375,165.25331786383032
6,322.3,167.5101174437761
7,314.475,159.8199866664392
8,321.725,161.04957574629952
9,311.35,157.23881297981717
