seed,Reward,Value Error
0,-25000.0,519298.3106676684
1,-25000.0,140556.291516899
2,-25000.0,177028.59682052222
3,-25000.0,124539.74725842233
4,-25000.0,323822.1302175294
5,-25000.0,219469.12699933967
6,-25000.0,154765.8190660293
7,-25000.0,185469.7692226334
8,-25000.0,286774.1284253245
9,-25000.0,381277.64095880854
