seed,Reward,Value Error
0,-25000.0,25924.31976402086
1,-25000.0,20128.42114165041
2,-25000.0,27402.1806117764
3,-25000.0,12517.256417890881
4,-25000.0,21582.578333379824
5,-25000.0,31796.13367774319
6,-25000.0,16923.322861462577
7,-25000.0,20927.217179737832
8,-25000.0,18784.15146865156
9,-25000.0,18333.902584579686
