seed,Reward,Value Error
0,-25000.0,25436.418823472013
1,-25000.0,12120.961590830915
2,-25000.0,23215.29757882083
3,-25000.0,15241.935915359707
4,-25000.0,21629.582113052085
5,-25000.0,18703.95794829499
6,-25000.0,26352.809793840126
7,-25000.0,29203.615213900317
8,-25000.0,15413.392756576504
9,-25000.0,18850.420722981104
