Training Step,Steps,Reward
0,28.024273407173286,222.70655539704234
50000,111.2442438300395,212.5706633851142
100000,142.71561212812165,164.50430559409392
150000,192.12379865068377,111.95642249963691
200000,183.1554833397811,67.47168763012513
250000,137.27927277702346,52.46061279701552
300000,99.36387376687503,39.186776671432334
350000,59.75227107115205,28.328271107940907
400000,84.30003461315111,29.608571409711814
450000,85.50843943539775,31.483995159536548
500000,82.22517669916816,24.845268505302357
550000,56.18850651095405,23.768249576806227
600000,71.32298050998105,18.59181634838893
650000,117.21109097187154,25.45554073558955
700000,111.57931233270862,28.748113395197446
750000,83.22910738449278,29.279833728113733
800000,43.20836011205956,24.374545179977844
850000,42.563635910099144,19.693020602853704
900000,47.57834688461304,19.950957350863465
950000,41.94008114449628,22.327240698441432
1000000,46.231486401783606,23.178758138584897
