seed,Reward,Value Error
0,-25000.0,45169.40740222192
1,-25000.0,40257.314803063506
2,-25000.0,64415.94961989376
3,-25000.0,69861.31298373023
4,-25000.0,74105.97776509957
5,-25000.0,53478.48996849624
6,-25000.0,56125.34108473564
7,-25000.0,75978.92268058984
8,-25000.0,88429.64517386068
9,-25000.0,69158.12960684129
