seed,Reward,Value Error
0,-25000.0,50047.60246632855
1,-25000.0,49037.43634874071
2,-25000.0,38237.40704194209
3,-25000.0,65561.51898318982
4,-25000.0,49391.85640531058
5,-25000.0,52604.10279881259
6,-25000.0,53724.41552207114
7,-25000.0,52541.70617041788
8,-25000.0,84463.7626975952
9,-25000.0,36441.65238816245
