seed,Reward,Value Error
0,-1.0,62275.491016731794
1,-1.0,41425.58526910731
2,-1.0,39462.45791900188
3,-1.0,39742.154837330054
4,-1.0,57023.673541979864
5,-1.0,50577.64350081359
6,-1.0,46425.488516044104
7,-1.0,70381.41487078313
8,-1.0,60533.76604955025
9,-1.0,63833.28471711094
