Training Step,Steps,Reward
0,0.0,0.0
50000,0.0,0.0
100000,17.325,17.325
150000,12.67124697888886,12.67124697888886
200000,22.54813739535929,22.54813739535929
250000,31.6757513723037,31.6757513723037
300000,14.04512459894892,14.04512459894892
350000,9.58461788492374,9.58461788492374
400000,16.867498332592184,16.867498332592184
450000,10.517491383405073,10.517491383405073
500000,19.189346653807682,19.189346653807682
550000,14.903892109110291,14.903892109110291
600000,5.14018725339846,5.14018725339846
650000,11.092817496019665,11.092817496019665
700000,15.98965603132225,15.98965603132225
750000,25.456121071365136,25.456121071365136
800000,14.692552535213203,14.692552535213203
850000,19.424059822807383,19.424059822807383
900000,22.703568001527866,22.703568001527866
950000,20.5459460721574,20.5459460721574
1000000,15.45358291788671,15.45358291788671
