seed,Reward,Value Error
0,-25000.0,29365.317500887635
1,-25000.0,25521.435916861596
2,-25000.0,20144.10698374059
3,-25000.0,24573.15549310022
4,-25000.0,39748.23336672961
5,-25000.0,22142.257078486302
6,-25000.0,29307.87702042163
7,-25000.0,20831.877072939737
8,-25000.0,25243.30986618019
9,-25000.0,16850.504921826825
