Training Step,Steps,Reward
0,25.723466305107483,194.3389978159504
50000,87.96523727444836,22.665635796673147
100000,205.62298137307027,55.68373244231934
150000,36.3081150536626,16.388312381679732
200000,98.43287290712388,39.17056774869452
250000,131.23741070575113,91.76830767970982
300000,94.81540618486007,90.55155131002937
350000,152.6008780077952,25.806572331170596
400000,129.2310013841493,100.55368449721082
450000,37.457275661745605,37.2852916889525
500000,73.35498023311028,41.62651154594259
550000,118.31076926890468,38.941683827918006
600000,113.6831032684717,51.01731986368781
650000,99.50442436771341,51.898876646263965
700000,95.43737066133998,9.396750906139676
750000,74.81594499169279,72.30868126337063
800000,62.37050960790684,26.829170264968447
850000,134.9443513777068,24.530534336695702
900000,58.5064686594568,127.76588303394944
950000,133.3145762848159,64.30879594264233
1000000,49.45248350689781,60.5672498469218
